65568,1,14
131136,1,13
262272,1,13
524544,1,15
1049088,1,16
2098176,1,18
4196352,1,23
8392704,1,43
16785408,1,29
33570816,1,47
67141632,1,41
134283264,1,31
268566528,1,14
537133056,1,0
1074266112,1,0
65568,2,53
131136,2,55
262272,2,54
524544,2,54
1049088,2,58
2098176,2,60
4196352,2,63
8392704,2,71
16785408,2,86
33570816,2,75
67141632,2,69
134283264,2,62
268566528,2,43
537133056,2,0
1074266112,2,0
65568,4,55
131136,4,54
262272,4,56
524544,4,58
1049088,4,65
2098176,4,69
4196352,4,72
8392704,4,111
16785408,4,126
33570816,4,116
67141632,4,109
134283264,4,95
268566528,4,68
537133056,4,0
1074266112,4,0
65568,8,52
131136,8,57
262272,8,64
524544,8,80
1049088,8,81
2098176,8,86
4196352,8,98
8392704,8,145
16785408,8,224
33570816,8,219
67141632,8,226
134283264,8,182
268566528,8,125
537133056,8,0
1074266112,8,0
65568,16,76
131136,16,81
262272,16,95
524544,16,134
1049088,16,134
2098176,16,137
4196352,16,156
8392704,16,331
16785408,16,581
33570816,16,709
67141632,16,665
134283264,16,591
268566528,16,403
537133056,16,0
1074266112,16,0
65568,32,90
131136,32,98
262272,32,123
524544,32,195
1049088,32,209
2098176,32,199
4196352,32,235
8392704,32,554
16785408,32,1486
33570816,32,1645
67141632,32,1621
134283264,32,1364
268566528,32,914
537133056,32,0
1074266112,32,0
65568,64,111
131136,64,115
262272,64,147
524544,64,236
1049088,64,252
2098176,64,255
4196352,64,260
8392704,64,653
16785408,64,1952
33570816,64,2079
67141632,64,2011
134283264,64,1584
268566528,64,1032
537133056,64,0
1074266112,64,0
65568,128,106
131136,128,125
262272,128,153
524544,128,241
1049088,128,267
2098176,128,269
4196352,128,276
8392704,128,911
16785408,128,1939
33570816,128,2048
67141632,128,1946
134283264,128,1388
268566528,128,937
537133056,128,0
1074266112,128,0
65568,256,84
131136,256,105
262272,256,138
524544,256,226
1049088,256,257
2098176,256,292
4196352,256,322
8392704,256,799
16785408,256,1575
33570816,256,2043
67141632,256,1858
134283264,256,1430
268566528,256,1106
537133056,256,0
1074266112,256,0
65568,512,52
131136,512,106
262272,512,127
524544,512,200
1049088,512,234
2098176,512,235
4196352,512,285
8392704,512,617
16785408,512,1675
33570816,512,1990
67141632,512,1754
134283264,512,1696
268566528,512,1195
537133056,512,0
1074266112,512,0
65568,1024,52
131136,1024,90
262272,1024,187
524544,1024,211
1049088,1024,218
2098176,1024,237
4196352,1024,271
8392704,1024,671
16785408,1024,1730
33570816,1024,1200
67141632,1024,1241
134283264,1024,1160
268566528,1024,704
537133056,1024,0
1074266112,1024,0
65568,2048,68
131136,2048,62
262272,2048,101
524544,2048,206
1049088,2048,224
2098176,2048,219
4196352,2048,222
8392704,2048,221
16785408,2048,1069
33570816,2048,1402
67141632,2048,1481
134283264,2048,1292
268566528,2048,908
537133056,2048,0
1074266112,2048,0
65568,4096,129
131136,4096,73
262272,4096,57
524544,4096,110
1049088,4096,188
2098176,4096,215
4196352,4096,218
8392704,4096,223
16785408,4096,893
33570816,4096,1577
67141632,4096,1526
134283264,4096,1257
268566528,4096,792
537133056,4096,0
1074266112,4096,0
65568,8192,105
131136,8192,133
262272,8192,75
524544,8192,77
1049088,8192,133
2098176,8192,238
4196352,8192,252
8392704,8192,239
16785408,8192,707
33570816,8192,1514
67141632,8192,1302
134283264,8192,1156
268566528,8192,925
537133056,8192,0
1074266112,8192,0
65568,16384,116
131136,16384,103
262272,16384,124
524544,16384,68
1049088,16384,88
2098176,16384,121
4196352,16384,212
8392704,16384,208
16785408,16384,581
33570816,16384,1584
67141632,16384,1495
134283264,16384,1258
268566528,16384,842
537133056,16384,0
1074266112,16384,0
65568,32768,156
131136,32768,125
262272,32768,112
524544,32768,129
1049088,32768,84
2098176,32768,96
4196352,32768,148
8392704,32768,221
16785408,32768,227
33570816,32768,1564
67141632,32768,1533
134283264,32768,1174
268566528,32768,854
537133056,32768,0
1074266112,32768,0
65568,65536,371
131136,65536,173
262272,65536,129
524544,65536,113
1049088,65536,120
2098176,65536,73
4196352,65536,82
8392704,65536,121
16785408,65536,222
33570816,65536,241
67141632,65536,1599
134283264,65536,1378
268566528,65536,916
537133056,65536,0
1074266112,65536,0
65568,131072,677
131136,131072,329
262272,131072,161
524544,131072,132
1049088,131072,139
2098176,131072,142
4196352,131072,76
8392704,131072,74
16785408,131072,115
33570816,131072,195
67141632,131072,184
134283264,131072,1234
268566528,131072,804
537133056,131072,0
1074266112,131072,0
65568,262144,1423
131136,262144,723
262272,262144,418
524544,262144,194
1049088,262144,157
2098176,262144,130
4196352,262144,143
8392704,262144,88
16785408,262144,79
33570816,262144,191
67141632,262144,210
134283264,262144,578
268566528,262144,858
537133056,262144,0
1074266112,262144,0
65568,524288,2829
131136,524288,1529
262272,524288,1046
524544,524288,455
1049088,524288,258
2098176,524288,158
4196352,524288,118
8392704,524288,124
16785408,524288,68
33570816,524288,67
67141632,524288,132
134283264,524288,178
268566528,524288,432
537133056,524288,0
1074266112,524288,0
